date,time,appliedcurrent,voltage,Cl,TOC,A,B,C,D,activatedcarbon,tensilestrength,elongation,glossiness,Mside,Sside,Curl
06월 01일,11,1.3,4.14,,,179,545,636,187,2.4,35.7,12.4,57,2.41,0.3,10
06월 01일,15,1.3,4.15,22.6,100,179,545,636,187,2.4,35.5,12.2,65,2.27,0.32,5
06월 01일,19,1.3,4.13,,,179,545,636,187,2.4,35.7,15.3,82,2.09,0.26,3
06월 01일,23,1.3,4.17,19.8,101,179,545,636,187,2.4,36.3,14.1,85,1.74,0.27,5
06월 02일,3,1.3,4.16,,,179,545,636,187,2.4,35.9,10.9,73,1.79,0.28,3
06월 02일,7,1.3,4.18,,,179,545,636,187,2.4,,,,,,
06월 02일,11,1.3,4.1,18.9,126,269,817,636,187,2.4,,,,,,
06월 02일,15,1.3,4.1,,,269,817,636,187,2.4,35.5,13.2,88,1.71,0.31,2
06월 02일,19,1.3,4.19,20.5,114,269,817,636,187,2.4,35.3,16.2,120,1.53,0.29,3
06월 02일,23,1.3,4.22,19.4,112,269,817,636,187,2.4,35.7,13,96,1.53,0.32,1
06월 03일,3,1.3,4.2,,,269,817,636,187,2.4,35.9,15.5,116,1.74,0.32,1
06월 03일,7,1.3,4.21,20.5,117,269,817,636,187,2.4,35.4,13.5,,2.03,0.31,1
06월 03일,11,1.3,4.17,,,269,817,954,187,2.4,36.2,14.1,,2.15,0.29,0
06월 03일,15,1.3,4.2,22,115,269,817,954,187,2.4,34.7,12.5,109,1.77,0.29,0
06월 03일,19,1.3,4.24,,,269,817,954,187,4.8,35.4,11,136,1.89,0.34,0
06월 03일,23,1.3,4.27,21.9,121,269,817,954,187,4.8,36.4,12.3,105,1.61,0.27,0
06월 04일,3,1.3,4.18,,,269,817,954,187,4.8,36.6,15.7,114,2.22,0.31,0
06월 04일,7,1.3,4.17,,,269,817,954,187,6,35.6,12.4,89,1.74,0.31,5
06월 04일,11,1.3,4.18,,,269,817,954,187,6,35.9,14.4,84,1.82,0.26,2
06월 04일,15,1.3,4.21,19.2,125,269,817,954,187,6,35.7,13.2,104,1.57,0.28,3
06월 04일,19,1.3,4.12,,,269,817,954,187,7.2,36.2,13.3,75,1.66,0.28,3
