nSheetID,strLotName,strGrade_Final,Endtime,time
274,20221022_101,A,2022-10-22 9:26,0:11
275,20221022_101,A,2022-10-22 9:27,0:27
276,20221022_101,A,2022-10-22 9:27,0:11
,,,,
277,20221022_101,A,2022-10-22 9:30,2:43
278,20221022_101,B,2022-10-22 9:30,0:09
279,20221022_101,A,2022-10-22 9:30,0:27
280,20221022_101,A,2022-10-22 9:31,0:10
281,20221022_101,A,2022-10-22 9:31,0:34
282,20221022_101,B,2022-10-22 9:31,0:09
283,20221022_101,A,2022-10-22 9:32,0:28
284,20221022_101,A,2022-10-22 9:32,0:10
285,20221022_101,A,2022-10-22 9:32,0:38
286,20221022_101,A,2022-10-22 9:33,0:10
287,20221022_101,B,2022-10-22 9:33,0:29
288,20221022_101,A,2022-10-22 9:33,0:09
289,20221022_101,A,2022-10-22 9:34,1:08
290,20221022_101,A,2022-10-22 9:35,0:10
291,20221022_101,A,2022-10-22 9:35,0:20
292,20221022_101,A,2022-10-22 9:35,0:09
293,20221022_101,A,2022-10-22 9:36,0:40
294,20221022_101,A,2022-10-22 9:36,0:09
295,20221022_101,A,2022-10-22 9:36,0:27
296,20221022_101,A,2022-10-22 9:36,0:09
297,20221022_101,A,2022-10-22 9:38,1:27
298,20221022_101,A,2022-10-22 9:38,0:09
299,20221022_101,A,2022-10-22 9:39,0:29
300,20221022_101,A,2022-10-22 9:39,0:09
301,20221022_101,A,2022-10-22 9:39,0:30
302,20221022_101,A,2022-10-22 9:39,0:08
303,20221022_101,A,2022-10-22 9:40,0:41
304,20221022_101,A,2022-10-22 9:40,0:09
305,20221022_101,A,2022-10-22 9:41,0:35
306,20221022_101,A,2022-10-22 9:41,0:09
307,20221022_101,A,2022-10-22 9:42,0:44
308,20221022_101,A,2022-10-22 9:42,0:09
309,20221022_101,A,2022-10-22 9:42,0:36
310,20221022_101,A,2022-10-22 9:43,0:09
311,20221022_101,A,2022-10-22 9:44,1:05
312,20221022_101,A,2022-10-22 9:44,0:08
313,20221022_101,A,2022-10-22 9:44,0:32
314,20221022_101,A,2022-10-22 9:44,0:09
315,20221022_101,A,2022-10-22 9:45,0:41
316,20221022_101,A,2022-10-22 9:45,0:10
317,20221022_101,A,2022-10-22 9:46,0:29
318,20221022_101,A,2022-10-22 9:46,0:09
319,20221022_101,A,2022-10-22 9:47,0:51
320,20221022_101,A,2022-10-22 9:47,0:08
321,20221022_101,A,2022-10-22 9:47,0:33
322,20221022_101,A,2022-10-22 9:48,0:09
323,20221022_101,A,2022-10-22 9:49,1:20
324,20221022_101,A,2022-10-22 9:49,0:11
325,20221022_101,A,2022-10-22 9:50,0:47
326,20221022_101,A,2022-10-22 9:50,0:14
327,20221022_101,A,2022-10-22 9:51,1:10
328,20221022_101,A,2022-10-22 9:51,0:08
329,20221022_101,A,2022-10-22 9:52,0:35
330,20221022_101,A,2022-10-22 9:52,0:10
331,20221022_101,A,2022-10-22 9:53,0:47
332,20221022_101,A,2022-10-22 9:53,0:09
333,20221022_101,A,2022-10-22 9:54,0:59
334,20221022_101,A,2022-10-22 9:54,0:09
335,20221022_101,B,2022-10-22 9:56,1:45
336,20221022_101,B,2022-10-22 9:56,0:00
337,20221022_101,A,2022-10-22 9:56,0:00
338,20221022_101,A,2022-10-22 9:56,0:09
339,20221022_101,A,2022-10-22 9:57,0:46
340,20221022_101,A,2022-10-22 9:57,0:09
341,20221022_101,A,2022-10-22 9:58,0:30
342,20221022_101,A,2022-10-22 9:58,0:10
343,20221022_101,A,2022-10-22 9:59,0:48
344,20221022_101,B,2022-10-22 9:59,0:09
345,20221022_101,A,2022-10-22 9:59,0:30
346,20221022_101,A,2022-10-22 9:59,0:10
347,20221022_101,B,2022-10-22 10:01,2:02
348,20221022_101,B,2022-10-22 10:01,0:00
349,20221022_101,A,2022-10-22 10:01,0:00
350,20221022_101,A,2022-10-22 10:02,0:09
351,20221022_101,A,2022-10-22 10:03,1:43
352,20221022_101,A,2022-10-22 10:03,0:09
353,20221022_101,A,2022-10-22 10:04,0:34
354,20221022_101,A,2022-10-22 10:04,0:09
355,20221022_101,A,2022-10-22 10:05,0:35
356,20221022_101,A,2022-10-22 10:05,0:09
357,20221022_101,B,2022-10-22 10:07,2:28
358,20221022_101,B,2022-10-22 10:07,0:00
359,20221022_101,A,2022-10-22 10:07,0:00
360,20221022_101,A,2022-10-22 10:07,0:08
361,20221022_101,B,2022-10-22 10:09,1:34
362,20221022_101,B,2022-10-22 10:09,0:00
363,20221022_101,A,2022-10-22 10:09,0:00
364,20221022_101,A,2022-10-22 10:09,0:09
365,20221022_101,A,2022-10-22 10:10,0:32
366,20221022_101,B,2022-10-22 10:10,0:09
367,20221022_101,A,2022-10-22 10:11,0:42
368,20221022_101,A,2022-10-22 10:11,0:09
369,20221022_101,A,2022-10-22 10:11,0:34
370,20221022_101,A,2022-10-22 10:11,0:10
